,X,Y,I
0,h_t_next,"['h_t', 'd_t']",1.2466208874610822
1,h_t_next,"['h_t', 'd_t', 'h_bar_t']",1.5502136065749441
2,h_t_next,"['h_t', 'd_t', 'd_bar_t']",1.4486803179354883
3,h_t_next,"['h_t', 'd_t', 'csf_t']",1.3435057833084483
4,h_t_next,"['h_t', 'd_t', 'h_bar_t', 'd_bar_t']",1.7962731260655838
5,h_t_next,"['h_t', 'd_t', 'h_bar_t', 'csf_t']",1.6596940741495305
6,h_t_next,"['h_t', 'd_t', 'd_bar_t', 'csf_t']",1.5640558296336928
7,h_t_next,"['h_t', 'd_t', 'h_bar_t', 'd_bar_t', 'csf_t']",1.9158858444373843
8,h_t_next,h_t_next,4.152544618989844
9,d_t_next,"['h_t', 'd_t']",0.7538835281568044
10,d_t_next,"['h_t', 'd_t', 'h_bar_t']",0.9416072475381416
11,d_t_next,"['h_t', 'd_t', 'd_bar_t']",1.0297654324834975
12,d_t_next,"['h_t', 'd_t', 'csf_t']",0.8498963135294676
13,d_t_next,"['h_t', 'd_t', 'h_bar_t', 'd_bar_t']",1.2738108922713816
14,d_t_next,"['h_t', 'd_t', 'h_bar_t', 'csf_t']",1.0627822185445204
15,d_t_next,"['h_t', 'd_t', 'd_bar_t', 'csf_t']",1.1524393827991526
16,d_t_next,"['h_t', 'd_t', 'h_bar_t', 'd_bar_t', 'csf_t']",1.4132911121252982
17,d_t_next,d_t_next,4.204873623569373
18,z_t_next,"['h_t', 'd_t']",0.2742994306528247
19,z_t_next,"['h_t', 'd_t', 'h_bar_t']",0.2872904541829356
20,z_t_next,"['h_t', 'd_t', 'd_bar_t']",0.2922760117180883
21,z_t_next,"['h_t', 'd_t', 'csf_t']",0.3432016163412068
22,z_t_next,"['h_t', 'd_t', 'h_bar_t', 'd_bar_t']",0.30628306325475485
23,z_t_next,"['h_t', 'd_t', 'h_bar_t', 'csf_t']",0.351536068602345
24,z_t_next,"['h_t', 'd_t', 'd_bar_t', 'csf_t']",0.35024565188527607
25,z_t_next,"['h_t', 'd_t', 'h_bar_t', 'd_bar_t', 'csf_t']",0.35991963499309526
26,z_t_next,z_t_next,0.5389798995513995
